Round,Indicator,Group,Subgroup,Sample Size,Response,Percent,Standard Error,Suppression,Significant 1,Significant 2
3,Reduced access to one or more types of care,Education,High school graduate or less,,Due to pandemic,12,1.2,,1,1
3,Reduced access to one or more types of care,Education,Some college,2582,Total,,,,,
3,Reduced access to one or more types of care,Education,Some college,,For any reason,28,1.4,,1,1
3,Reduced access to one or more types of care,Education,Some college,,Due to pandemic,13.8,1.2,,1,1
3,Reduced access to one or more types of care,Education,Bachelor's degree or above,1594,Total,,,,,
3,Reduced access to one or more types of care,Education,Bachelor's degree or above,,For any reason,24.2,1.3,,1,1
3,Reduced access to one or more types of care,Education,Bachelor's degree or above,,Due to pandemic,12.5,1.1,,1,1
3,Reduced access to one or more types of care,Urbanization,Metropolitan,4622,Total,,,,,
3,Reduced access to one or more types of care,Urbanization,Metropolitan,,For any reason,27.3,0.8,,1,1
3,Reduced access to one or more types of care,Urbanization,Metropolitan,,Due to pandemic,13.2,0.7,,1,1
3,Reduced access to one or more types of care,Urbanization,Non-Metropolitan,834,Total,,,,,
3,Reduced access to one or more types of care,Urbanization,Non-Metropolitan,,For any reason,24.4,1.9,,1,1
3,Reduced access to one or more types of care,Urbanization,Non-Metropolitan,,Due to pandemic,9.9,1.5,,1,1
3,Reduced access to one or more types of care,Chronic conditions,One or more chronic conditions,3419,Total,,,,,
3,Reduced access to one or more types of care,Chronic conditions,One or more chronic conditions,,For any reason,28.3,1.2,,1,1
3,Reduced access to one or more types of care,Chronic conditions,One or more chronic conditions,,Due to pandemic,13.4,0.8,,1,1
3,Reduced access to one or more types of care,Chronic conditions,Diagnosed diabetes,741,Total,,,,,
3,Reduced access to one or more types of care,Chronic conditions,Diagnosed diabetes,,For any reason,33.3,2.4,,1,1
3,Reduced access to one or more types of care,Chronic conditions,Diagnosed diabetes,,Due to pandemic,15.9,2,,1,1
3,Reduced access to one or more types of care,Chronic conditions,Diagnosed hypertension,2105,Total,,,,,
3,Reduced access to one or more types of care,Chronic conditions,Diagnosed hypertension,,For any reason,27.8,1.6,,1,1
3,Reduced access to one or more types of care,Chronic conditions,Diagnosed hypertension,,Due to pandemic,13.4,1,,1,1
3,Reduced access to one or more types of care,Chronic conditions,Current asthma,564,Total,,,,,
3,Reduced access to one or more types of care,Chronic conditions,Current asthma,,For any reason,39.9,2.7,,1,1
3,Reduced access to one or more types of care,Chronic conditions,Current asthma,,Due to pandemic,20.8,2.1,,1,1
1,Reduced access to urgent care,Total,Total,6691,Total,,,,,
1,Reduced access to urgent care,Total,Total,,For any reason,3.5,0.3,,,
1,Reduced access to urgent care,Total,Total,,Due to pandemic,1.5,0.2,,,
1,Reduced access to urgent care,Age group,18-44 years,2591,Total,,,,,
1,Reduced access to urgent care,Age group,18-44 years,,For any reason,4.3,0.6,,,
1,Reduced access to urgent care,Age group,18-44 years,,Due to pandemic,2.1,0.4,,,
1,Reduced access to urgent care,Age group,45-64 years,2332,Total,,,,,
1,Reduced access to urgent care,Age group,45-64 years,,For any reason,3.4,0.4,,,
1,Reduced access to urgent care,Age group,45-64 years,,Due to pandemic,1.1,0.2,,,
1,Reduced access to urgent care,Age group,65 years and over,1768,Total,,,,,
1,Reduced access to urgent care,Age group,65 years and over,,For any reason,1.9,0.4,,,
1,Reduced access to urgent care,Age group,65 years and over,,Due to pandemic,0.8,0.3,,,
1,Reduced access to urgent care,Race/Hispanic origin,White non-Hispanic,4443,Total,,,,,
1,Reduced access to urgent care,Race/Hispanic origin,White non-Hispanic,,For any reason,3.1,0.3,,,
1,Reduced access to urgent care,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,1.4,0.3,,,
1,Reduced access to urgent care,Race/Hispanic origin,Black non-Hispanic,800,Total,,,,,
1,Reduced access to urgent care,Race/Hispanic origin,Black non-Hispanic,,For any reason,5.2,1,,,
1,Reduced access to urgent care,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,2.3,0.5,,,
1,Reduced access to urgent care,Race/Hispanic origin,Other non-Hispanic,521,Total,,,,,
1,Reduced access to urgent care,Race/Hispanic origin,Other non-Hispanic,,For any reason,2.9,0.8,,,
1,Reduced access to urgent care,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,0.8,0.4,,,
1,Reduced access to urgent care,Race/Hispanic origin,Hispanic,927,Total,,,,,
1,Reduced access to urgent care,Race/Hispanic origin,Hispanic,,For any reason,4.1,0.8,,,
1,Reduced access to urgent care,Race/Hispanic origin,Hispanic,,Due to pandemic,1.3,0.3,,,
1,Reduced access to urgent care,Sex,Male,2922,Total,,,,,
1,Reduced access to urgent care,Sex,Male,,For any reason,2.9,0.4,,,
1,Reduced access to urgent care,Sex,Male,,Due to pandemic,1.2,0.3,,,
1,Reduced access to urgent care,Sex,Female,3769,Total,,,,,
1,Reduced access to urgent care,Sex,Female,,For any reason,4.1,0.4,,,
1,Reduced access to urgent care,Sex,Female,,Due to pandemic,1.7,0.3,,,
1,Reduced access to urgent care,Education,High school graduate or less,1280,Total,,,,,
1,Reduced access to urgent care,Education,High school graduate or less,,For any reason,4.2,0.8,,,
1,Reduced access to urgent care,Education,High school graduate or less,,Due to pandemic,2,0.5,,,
1,Reduced access to urgent care,Education,Some college,2517,Total,,,,,
1,Reduced access to urgent care,Education,Some college,,For any reason,4.2,0.5,,,
1,Reduced access to urgent care,Education,Some college,,Due to pandemic,1.6,0.2,,,
1,Reduced access to urgent care,Education,Bachelor's degree or above,2894,Total,,,,,
1,Reduced access to urgent care,Education,Bachelor's degree or above,,For any reason,2.1,0.3,,,
1,Reduced access to urgent care,Education,Bachelor's degree or above,,Due to pandemic,0.9,0.2,,,
1,Reduced access to urgent care,Urbanization,Metropolitan,5966,Total,,,,,
1,Reduced access to urgent care,Urbanization,Metropolitan,,For any reason,3.3,0.3,,,
1,Reduced access to urgent care,Urbanization,Non-Metropolitan,725,Total,,,,,
1,Reduced access to urgent care,Urbanization,Non-Metropolitan,,For any reason,5.2,1.1,,,
1,Reduced access to urgent care,Urbanization,Non-Metropolitan,,Due to pandemic,2.2,0.9,,,
1,Reduced access to urgent care,Chronic conditions,One or more chronic conditions,4006,Total,,,,,
1,Reduced access to urgent care,Chronic conditions,One or more chronic conditions,,For any reason,4.2,0.4,,,
1,Reduced access to urgent care,Chronic conditions,One or more chronic conditions,,Due to pandemic,1.7,0.3,,,
1,Reduced access to urgent care,Chronic conditions,Diagnosed diabetes,757,Total,,,,,
1,Reduced access to urgent care,Chronic conditions,Diagnosed diabetes,,For any reason,8.4,1.5,,,
1,Reduced access to urgent care,Chronic conditions,Diagnosed diabetes,,Due to pandemic,3.5,1.1,,,
1,Reduced access to urgent care,Chronic conditions,Diagnosed hypertension,2376,Total,,,,,
1,Reduced access to urgent care,Chronic conditions,Diagnosed hypertension,,For any reason,4.2,0.5,,,
1,Reduced access to urgent care,Chronic conditions,Diagnosed hypertension,,Due to pandemic,1.6,0.4,,,
1,Reduced access to urgent care,Chronic conditions,Current asthma,687,Total,,,,,
1,Reduced access to urgent care,Chronic conditions,Current asthma,,For any reason,8.3,1.7,,,
1,Reduced access to urgent care,Chronic conditions,Current asthma,,Due to pandemic,,,*,,
2,Reduced access to urgent care,Total,Total,5905,Total,,,,,
2,Reduced access to urgent care,Total,Total,,For any reason,3.4,0.3,,0,
2,Reduced access to urgent care,Total,Total,,Due to pandemic,1.3,0.2,,0,
2,Reduced access to urgent care,Age group,18-44 years,2204,Total,,,,,
2,Reduced access to urgent care,Age group,18-44 years,,For any reason,4.3,0.5,,0,
2,Reduced access to urgent care,Age group,18-44 years,,Due to pandemic,2,0.5,,0,
2,Reduced access to urgent care,Age group,45-64 years,2056,Total,,,,,
2,Reduced access to urgent care,Age group,45-64 years,,For any reason,3.1,0.6,,0,
2,Reduced access to urgent care,Age group,45-64 years,,Due to pandemic,0.7,0.2,,0,
2,Reduced access to urgent care,Age group,65 years and over,1645,Total,,,,,
2,Reduced access to urgent care,Age group,65 years and over,,For any reason,1.7,0.3,,0,
2,Reduced access to urgent care,Age group,65 years and over,,Due to pandemic,0.6,0.2,,0,
2,Reduced access to urgent care,Race/Hispanic origin,White non-Hispanic,4027,Total,,,,,
2,Reduced access to urgent care,Race/Hispanic origin,White non-Hispanic,,For any reason,2.3,0.3,,0,
2,Reduced access to urgent care,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,0.7,0.2,,1,
2,Reduced access to urgent care,Race/Hispanic origin,Black non-Hispanic,679,Total,,,,,
2,Reduced access to urgent care,Race/Hispanic origin,Black non-Hispanic,,For any reason,5.2,0.8,,0,
2,Reduced access to urgent care,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,2.3,0.7,,0,
2,Reduced access to urgent care,Race/Hispanic origin,Other non-Hispanic,457,Total,,,,,
2,Reduced access to urgent care,Race/Hispanic origin,Other non-Hispanic,,For any reason,4.8,1,,0,
2,Reduced access to urgent care,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,1.9,0.5,,0,
2,Reduced access to urgent care,Race/Hispanic origin,Hispanic,742,Total,,,,,
2,Reduced access to urgent care,Race/Hispanic origin,Hispanic,,For any reason,5.3,1.2,,0,
2,Reduced access to urgent care,Race/Hispanic origin,Hispanic,,Due to pandemic,2.3,0.9,,0,
2,Reduced access to urgent care,Sex,Male,2560,Total,,,,,
2,Reduced access to urgent care,Sex,Male,,For any reason,3.6,0.6,,0,
2,Reduced access to urgent care,Sex,Male,,Due to pandemic,1.4,0.4,,0,
2,Reduced access to urgent care,Sex,Female,3345,Total,,,,,
2,Reduced access to urgent care,Sex,Female,,For any reason,3.1,0.4,,0,
2,Reduced access to urgent care,Sex,Female,,Due to pandemic,1.1,0.2,,0,
2,Reduced access to urgent care,Education,High school graduate or less,1089,Total,,,,,
2,Reduced access to urgent care,Education,High school graduate or less,,For any reason,4.1,0.7,,0,
2,Reduced access to urgent care,Education,High school graduate or less,,Due to pandemic,1,0.4,,0,
2,Reduced access to urgent care,Education,Some college,2204,Total,,,,,
2,Reduced access to urgent care,Education,Some college,,For any reason,3.9,0.6,,0,
2,Reduced access to urgent care,Education,Some college,,Due to pandemic,2.1,0.5,,0,
2,Reduced access to urgent care,Education,Bachelor's degree or above,2612,Total,,,,,
2,Reduced access to urgent care,Education,Bachelor's degree or above,,For any reason,2,0.3,,0,
2,Reduced access to urgent care,Education,Bachelor's degree or above,,Due to pandemic,0.7,0.2,,0,
2,Reduced access to urgent care,Urbanization,Metropolitan,5253,Total,,,,,
2,Reduced access to urgent care,Urbanization,Metropolitan,,For any reason,3.4,0.4,,0,
2,Reduced access to urgent care,Urbanization,Metropolitan,,Due to pandemic,1.3,0.2,,0,
2,Reduced access to urgent care,Urbanization,Non-Metropolitan,652,Total,,,,,
2,Reduced access to urgent care,Urbanization,Non-Metropolitan,,For any reason,3.3,0.6,,0,
2,Reduced access to urgent care,Urbanization,Non-Metropolitan,,Due to pandemic,1.3,0.8,,0,
2,Reduced access to urgent care,Chronic conditions,One or more chronic conditions,3598,Total,,,,,
2,Reduced access to urgent care,Chronic conditions,One or more chronic conditions,,For any reason,3.4,0.5,,0,
2,Reduced access to urgent care,Chronic conditions,One or more chronic conditions,,Due to pandemic,1.4,0.3,,0,
2,Reduced access to urgent care,Chronic conditions,Diagnosed diabetes,678,Total,,,,,
2,Reduced access to urgent care,Chronic conditions,Diagnosed diabetes,,For any reason,,,*,,
2,Reduced access to urgent care,Chronic conditions,Diagnosed diabetes,,Due to pandemic,1.9,0.8,,0,
2,Reduced access to urgent care,Chronic conditions,Diagnosed hypertension,2153,Total,,,,,
2,Reduced access to urgent care,Chronic conditions,Diagnosed hypertension,,For any reason,3.4,0.7,,0,
2,Reduced access to urgent care,Chronic conditions,Diagnosed hypertension,,Due to pandemic,1,0.3,,0,
2,Reduced access to urgent care,Chronic conditions,Current asthma,615,Total,,,,,
2,Reduced access to urgent care,Chronic conditions,Current asthma,,For any reason,6,1.2,,0,
2,Reduced access to urgent care,Chronic conditions,Current asthma,,Due to pandemic,2.7,0.8,,,
3,Reduced access to urgent care,Total,Total,5403,Total,,,,,
3,Reduced access to urgent care,Total,Total,,For any reason,4.4,0.4,,1,1
3,Reduced access to urgent care,Total,Total,,Due to pandemic,1.2,0.2,,0,0
3,Reduced access to urgent care,Age group,18-44 years,1967,Total,,,,,
3,Reduced access to urgent care,Age group,18-44 years,,For any reason,5.5,0.6,,0,0
3,Reduced access to urgent care,Age group,18-44 years,,Due to pandemic,1.4,0.3,,0,0
3,Reduced access to urgent care,Age group,45-64 years,1716,Total,,,,,
3,Reduced access to urgent care,Age group,45-64 years,,For any reason,4.4,0.6,,0,0
3,Reduced access to urgent care,Age group,45-64 years,,Due to pandemic,1.3,0.4,,0,0
3,Reduced access to urgent care,Age group,65 years and over,1720,Total,,,,,
3,Reduced access to urgent care,Age group,65 years and over,,For any reason,2,0.5,,0,0
3,Reduced access to urgent care,Age group,65 years and over,,Due to pandemic,0.2,0.1,,0,0
3,Reduced access to urgent care,Race/Hispanic origin,White non-Hispanic,3442,Total,,,,,
3,Reduced access to urgent care,Race/Hispanic origin,White non-Hispanic,,For any reason,3.6,0.4,,0,1
3,Reduced access to urgent care,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,0.8,0.2,,0,0
3,Reduced access to urgent care,Race/Hispanic origin,Black non-Hispanic,758,Total,,,,,
3,Reduced access to urgent care,Race/Hispanic origin,Black non-Hispanic,,For any reason,8.4,1.4,,1,1
3,Reduced access to urgent care,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,2.2,0.8,,0,0
3,Reduced access to urgent care,Race/Hispanic origin,Other non-Hispanic,390,Total,,,,,
3,Reduced access to urgent care,Race/Hispanic origin,Other non-Hispanic,,For any reason,,,*,,
3,Reduced access to urgent care,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,1.3,0.6,,0,0
3,Reduced access to urgent care,Race/Hispanic origin,Hispanic,813,Total,,,,,
3,Reduced access to urgent care,Race/Hispanic origin,Hispanic,,For any reason,4.9,0.9,,0,0
3,Reduced access to urgent care,Race/Hispanic origin,Hispanic,,Due to pandemic,1.5,0.5,,0,0
3,Reduced access to urgent care,Sex,Male,2442,Total,,,,,
3,Reduced access to urgent care,Sex,Male,,For any reason,3.9,0.5,,0,0
3,Reduced access to urgent care,Sex,Male,,Due to pandemic,0.7,0.2,,0,0
3,Reduced access to urgent care,Sex,Female,2961,Total,,,,,
3,Reduced access to urgent care,Sex,Female,,For any reason,4.9,0.5,,0,1
3,Reduced access to urgent care,Sex,Female,,Due to pandemic,1.6,0.3,,0,0
3,Reduced access to urgent care,Education,High school graduate or less,1270,Total,,,,,
3,Reduced access to urgent care,Education,High school graduate or less,,For any reason,4.3,0.7,,0,0
3,Reduced access to urgent care,Education,High school graduate or less,,Due to pandemic,0.7,0.3,,1,0
3,Reduced access to urgent care,Education,Some college,2554,Total,,,,,
3,Reduced access to urgent care,Education,Some college,,For any reason,5.7,0.6,,0,1
3,Reduced access to urgent care,Education,Some college,,Due to pandemic,2,0.4,,0,0
3,Reduced access to urgent care,Education,Bachelor's degree or above,1579,Total,,,,,
3,Reduced access to urgent care,Education,Bachelor's degree or above,,For any reason,3.2,0.5,,1,1
3,Reduced access to urgent care,Education,Bachelor's degree or above,,Due to pandemic,0.8,0.3,,0,0
3,Reduced access to urgent care,Urbanization,Metropolitan,4580,Total,,,,,
3,Reduced access to urgent care,Urbanization,Metropolitan,,For any reason,4.3,0.4,,1,0
3,Reduced access to urgent care,Urbanization,Metropolitan,,Due to pandemic,1.2,0.2,,0,0
3,Reduced access to urgent care,Urbanization,Non-Metropolitan,823,Total,,,,,
3,Reduced access to urgent care,Urbanization,Non-Metropolitan,,For any reason,5.1,1.1,,0,0
3,Reduced access to urgent care,Urbanization,Non-Metropolitan,,Due to pandemic,1.2,0.5,,0,0
3,Reduced access to urgent care,Chronic conditions,One or more chronic conditions,3379,Total,,,,,
3,Reduced access to urgent care,Chronic conditions,One or more chronic conditions,,For any reason,4.8,0.6,,0,0
3,Reduced access to urgent care,Chronic conditions,One or more chronic conditions,,Due to pandemic,1.3,0.3,,0,0
3,Reduced access to urgent care,Chronic conditions,Diagnosed diabetes,735,Total,,,,,
3,Reduced access to urgent care,Chronic conditions,Diagnosed diabetes,,For any reason,6.2,1.5,,0,
3,Reduced access to urgent care,Chronic conditions,Diagnosed diabetes,,Due to pandemic,1.5,0.6,,0,0
3,Reduced access to urgent care,Chronic conditions,Diagnosed hypertension,2081,Total,,,,,
3,Reduced access to urgent care,Chronic conditions,Diagnosed hypertension,,For any reason,4.9,0.7,,0,0
3,Reduced access to urgent care,Chronic conditions,Diagnosed hypertension,,Due to pandemic,1.2,0.3,,0,0
3,Reduced access to urgent care,Chronic conditions,Current asthma,560,Total,,,,,
3,Reduced access to urgent care,Chronic conditions,Current asthma,,For any reason,6.9,1.2,,0,0
3,Reduced access to urgent care,Chronic conditions,Current asthma,,Due to pandemic,3.1,1,,,0
1,Reduced access to surgical procedure,Total,Total,6679,Total,,,,,
1,Reduced access to surgical procedure,Total,Total,,For any reason,5.4,0.5,,,
1,Reduced access to surgical procedure,Total,Total,,Due to pandemic,4,0.3,,,
1,Reduced access to surgical procedure,Age group,18-44 years,2586,Total,,,,,
1,Reduced access to surgical procedure,Age group,18-44 years,,For any reason,4.9,0.7,,,
1,Reduced access to surgical procedure,Age group,18-44 years,,Due to pandemic,3.5,0.6,,,
1,Reduced access to surgical procedure,Age group,45-64 years,2325,Total,,,,,
1,Reduced access to surgical procedure,Age group,45-64 years,,For any reason,5.4,0.8,,,
1,Reduced access to surgical procedure,Age group,45-64 years,,Due to pandemic,4.5,0.7,,,
1,Reduced access to surgical procedure,Age group,65 years and over,1768,Total,,,,,
1,Reduced access to surgical procedure,Age group,65 years and over,,For any reason,6.4,0.6,,,
1,Reduced access to surgical procedure,Age group,65 years and over,,Due to pandemic,4.6,0.6,,,
1,Reduced access to surgical procedure,Race/Hispanic origin,White non-Hispanic,4432,Total,,,,,
1,Reduced access to surgical procedure,Race/Hispanic origin,White non-Hispanic,,For any reason,4.8,0.5,,,
1,Reduced access to surgical procedure,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,3.8,0.4,,,
1,Reduced access to surgical procedure,Race/Hispanic origin,Black non-Hispanic,800,Total,,,,,
1,Reduced access to surgical procedure,Race/Hispanic origin,Black non-Hispanic,,For any reason,5.6,0.9,,,
1,Reduced access to surgical procedure,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,3.3,0.7,,,
1,Reduced access to surgical procedure,Race/Hispanic origin,Other non-Hispanic,519,Total,,,,,
1,Reduced access to surgical procedure,Race/Hispanic origin,Other non-Hispanic,,For any reason,3.6,0.9,,,
1,Reduced access to surgical procedure,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,2.8,0.8,,,
1,Reduced access to surgical procedure,Race/Hispanic origin,Hispanic,928,Total,,,,,
1,Reduced access to surgical procedure,Race/Hispanic origin,Hispanic,,For any reason,8.3,1.7,,,
1,Reduced access to surgical procedure,Race/Hispanic origin,Hispanic,,Due to pandemic,6.2,1.4,,,
1,Reduced access to surgical procedure,Sex,Male,2921,Total,,,,,
1,Reduced access to surgical procedure,Sex,Male,,For any reason,5.1,0.6,,,
1,Reduced access to surgical procedure,Sex,Male,,Due to pandemic,3.4,0.5,,,
1,Reduced access to surgical procedure,Sex,Female,3758,Total,,,,,
1,Reduced access to surgical procedure,Sex,Female,,For any reason,5.7,0.5,,,
1,Reduced access to surgical procedure,Sex,Female,,Due to pandemic,4.6,0.5,,,
1,Reduced access to surgical procedure,Education,High school graduate or less,1273,Total,,,,,
1,Reduced access to surgical procedure,Education,High school graduate or less,,For any reason,6.5,1.1,,,
1,Reduced access to surgical procedure,Education,High school graduate or less,,Due to pandemic,4.8,0.8,,,
1,Reduced access to surgical procedure,Education,Some college,2512,Total,,,,,
1,Reduced access to surgical procedure,Education,Some college,,For any reason,5.5,0.5,,,
1,Reduced access to surgical procedure,Education,Some college,,Due to pandemic,4.1,0.4,,,
1,Reduced access to surgical procedure,Education,Bachelor's degree or above,2894,Total,,,,,
1,Reduced access to surgical procedure,Education,Bachelor's degree or above,,For any reason,4.1,0.4,,,
1,Reduced access to surgical procedure,Education,Bachelor's degree or above,,Due to pandemic,3.2,0.3,,,
1,Reduced access to surgical procedure,Urbanization,Metropolitan,5955,Total,,,,,
1,Reduced access to surgical procedure,Urbanization,Metropolitan,,For any reason,5.2,0.4,,,
1,Reduced access to surgical procedure,Urbanization,Metropolitan,,Due to pandemic,3.9,0.3,,,
1,Reduced access to surgical procedure,Urbanization,Non-Metropolitan,724,Total,,,,,
1,Reduced access to surgical procedure,Urbanization,Non-Metropolitan,,For any reason,7.3,1.8,,,
1,Reduced access to surgical procedure,Urbanization,Non-Metropolitan,,Due to pandemic,5.4,1.3,,,
1,Reduced access to surgical procedure,Chronic conditions,One or more chronic conditions,4000,Total,,,,,
1,Reduced access to surgical procedure,Chronic conditions,One or more chronic conditions,,For any reason,7.1,0.7,,,
1,Reduced access to surgical procedure,Chronic conditions,One or more chronic conditions,,Due to pandemic,5.2,0.5,,,
1,Reduced access to surgical procedure,Chronic conditions,Diagnosed diabetes,758,Total,,,,,
1,Reduced access to surgical procedure,Chronic conditions,Diagnosed diabetes,,For any reason,9.5,2,,,
1,Reduced access to surgical procedure,Chronic conditions,Diagnosed diabetes,,Due to pandemic,6,1.2,,,
1,Reduced access to surgical procedure,Chronic conditions,Diagnosed hypertension,2371,Total,,,,,
1,Reduced access to surgical procedure,Chronic conditions,Diagnosed hypertension,,For any reason,7.3,0.8,,,
1,Reduced access to surgical procedure,Chronic conditions,Diagnosed hypertension,,Due to pandemic,5.4,0.6,,,
1,Reduced access to surgical procedure,Chronic conditions,Current asthma,685,Total,,,,,
1,Reduced access to surgical procedure,Chronic conditions,Current asthma,,For any reason,8.8,2.1,,,
1,Reduced access to surgical procedure,Chronic conditions,Current asthma,,Due to pandemic,6.3,1.8,,,
2,Reduced access to surgical procedure,Total,Total,5902,Total,,,,,
2,Reduced access to surgical procedure,Total,Total,,For any reason,4.3,0.4,,1,
2,Reduced access to surgical procedure,Total,Total,,Due to pandemic,2.7,0.3,,1,
2,Reduced access to surgical procedure,Age group,18-44 years,2203,Total,,,,,
2,Reduced access to surgical procedure,Age group,18-44 years,,For any reason,4.6,0.8,,0,
2,Reduced access to surgical procedure,Age group,18-44 years,,Due to pandemic,2.7,0.6,,0,
2,Reduced access to surgical procedure,Age group,45-64 years,2052,Total,,,,,
2,Reduced access to surgical procedure,Age group,45-64 years,,For any reason,4,0.6,,0,
2,Reduced access to surgical procedure,Age group,45-64 years,,Due to pandemic,2.7,0.5,,1,
2,Reduced access to surgical procedure,Age group,65 years and over,1647,Total,,,,,
2,Reduced access to surgical procedure,Age group,65 years and over,,For any reason,4.1,0.5,,1,
2,Reduced access to surgical procedure,Age group,65 years and over,,Due to pandemic,2.7,0.4,,1,
2,Reduced access to surgical procedure,Race/Hispanic origin,White non-Hispanic,4027,Total,,,,,
2,Reduced access to surgical procedure,Race/Hispanic origin,White non-Hispanic,,For any reason,3.8,0.5,,0,
2,Reduced access to surgical procedure,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,2.4,0.4,,1,
2,Reduced access to surgical procedure,Race/Hispanic origin,Black non-Hispanic,678,Total,,,,,
2,Reduced access to surgical procedure,Race/Hispanic origin,Black non-Hispanic,,For any reason,5,1,,0,
2,Reduced access to surgical procedure,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,2.6,0.6,,0,
2,Reduced access to surgical procedure,Race/Hispanic origin,Other non-Hispanic,455,Total,,,,,
2,Reduced access to surgical procedure,Race/Hispanic origin,Other non-Hispanic,,For any reason,,,*,,
2,Reduced access to surgical procedure,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,,,*,,
2,Reduced access to surgical procedure,Race/Hispanic origin,Hispanic,742,Total,,,,,
2,Reduced access to surgical procedure,Race/Hispanic origin,Hispanic,,For any reason,5.7,1.3,,0,
2,Reduced access to surgical procedure,Race/Hispanic origin,Hispanic,,Due to pandemic,4,1.1,,0,
2,Reduced access to surgical procedure,Sex,Male,2557,Total,,,,,
2,Reduced access to surgical procedure,Sex,Male,,For any reason,3.9,0.6,,0,
2,Reduced access to surgical procedure,Sex,Male,,Due to pandemic,2.7,0.5,,0,
2,Reduced access to surgical procedure,Sex,Female,3345,Total,,,,,
2,Reduced access to surgical procedure,Sex,Female,,For any reason,4.7,0.6,,0,
2,Reduced access to surgical procedure,Sex,Female,,Due to pandemic,2.8,0.4,,1,
2,Reduced access to surgical procedure,Education,High school graduate or less,1094,Total,,,,,
2,Reduced access to surgical procedure,Education,High school graduate or less,,For any reason,5.5,1,,0,
2,Reduced access to surgical procedure,Education,High school graduate or less,,Due to pandemic,2.8,0.8,,0,
2,Reduced access to surgical procedure,Education,Some college,2195,Total,,,,,
2,Reduced access to surgical procedure,Education,Some college,,For any reason,4.3,0.5,,1,
2,Reduced access to surgical procedure,Education,Some college,,Due to pandemic,3.4,0.5,,0,
2,Reduced access to surgical procedure,Education,Bachelor's degree or above,2613,Total,,,,,
2,Reduced access to surgical procedure,Education,Bachelor's degree or above,,For any reason,3,0.4,,1,
2,Reduced access to surgical procedure,Education,Bachelor's degree or above,,Due to pandemic,2.1,0.3,,1,
2,Reduced access to surgical procedure,Urbanization,Metropolitan,5253,Total,,,,,
2,Reduced access to surgical procedure,Urbanization,Metropolitan,,For any reason,4.1,0.4,,0,
2,Reduced access to surgical procedure,Urbanization,Metropolitan,,Due to pandemic,2.8,0.3,,1,
2,Reduced access to surgical procedure,Urbanization,Non-Metropolitan,649,Total,,,,,
2,Reduced access to surgical procedure,Urbanization,Non-Metropolitan,,For any reason,5.4,1.6,,0,
2,Reduced access to surgical procedure,Urbanization,Non-Metropolitan,,Due to pandemic,2.1,0.7,,1,
2,Reduced access to surgical procedure,Chronic conditions,One or more chronic conditions,3598,Total,,,,,
2,Reduced access to surgical procedure,Chronic conditions,One or more chronic conditions,,For any reason,5.1,0.5,,1,
2,Reduced access to surgical procedure,Chronic conditions,One or more chronic conditions,,Due to pandemic,3.5,0.4,,1,
2,Reduced access to surgical procedure,Chronic conditions,Diagnosed diabetes,682,Total,,,,,
2,Reduced access to surgical procedure,Chronic conditions,Diagnosed diabetes,,For any reason,8.3,1.7,,0,
2,Reduced access to surgical procedure,Chronic conditions,Diagnosed diabetes,,Due to pandemic,4.8,1.1,,0,
2,Reduced access to surgical procedure,Chronic conditions,Diagnosed hypertension,2159,Total,,,,,
2,Reduced access to surgical procedure,Chronic conditions,Diagnosed hypertension,,For any reason,4.7,0.7,,1,
2,Reduced access to surgical procedure,Chronic conditions,Diagnosed hypertension,,Due to pandemic,3.2,0.5,,1,
2,Reduced access to surgical procedure,Chronic conditions,Current asthma,618,Total,,,,,
2,Reduced access to surgical procedure,Chronic conditions,Current asthma,,For any reason,8.1,1.6,,0,
2,Reduced access to surgical procedure,Chronic conditions,Current asthma,,Due to pandemic,4.3,1.1,,0,
3,Reduced access to surgical procedure,Total,Total,5400,Total,,,,,
3,Reduced access to surgical procedure,Total,Total,,For any reason,3.5,0.4,,1,0
3,Reduced access to surgical procedure,Total,Total,,Due to pandemic,1.2,0.2,,1,1
3,Reduced access to surgical procedure,Age group,18-44 years,1964,Total,,,,,
3,Reduced access to surgical procedure,Age group,18-44 years,,For any reason,4,0.7,,0,0
3,Reduced access to surgical procedure,Age group,18-44 years,,Due to pandemic,1.4,0.3,,1,1
3,Reduced access to surgical procedure,Age group,45-64 years,1714,Total,,,,,
3,Reduced access to surgical procedure,Age group,45-64 years,,For any reason,3.1,0.5,,1,0
3,Reduced access to surgical procedure,Age group,45-64 years,,Due to pandemic,0.8,0.2,,1,1
